4 cereal flakes, g,
icing, g,
icing sugar, g,
instant cereal, glass,
instant coffee, g,
instant oat flakes, g,
instant polenta, glass,
intestine, g,
irga, g,
jalapeno pepper, g,
jam, g,
jam, g,
jam, g,
jamon, g,
jasmine rice, g,
jasmine tea, art. l.,
jelly, g,
jelly, g,
jugas cheese, g,
juice, g,
juniper berries, g,
jusai, g,
kaffir lime leaves, to taste,
kalamata olives, g,
kale cabbage, g,
kalindzhi seeds, h. l.,
kandurin gold, p. l.,
katyk, g,
kebab ketchup, g,
kefalotiri cheese, g,
kefir 1%, g,
kefir 2.5%, g,
kefir 3.2%, g,
kidneys, g,
kimchi, g,
king prawns, g,
kirsch, st. l.,
kiwi, kg,
kiwi jelly, g,
knuckle, to taste,
kohlrabi cabbage, g,
korinka, art. l.,
krill meat, g,
kumquats, a handful,
kupats, pcs.,
kvass, g,
kvass wort, g,
lady fish carcass, pcs.,
lamb, g,
lamb, g,
lamb chops on the bone, pcs.,
lamb entrecotes, kg,
lamb guts, kg,
lamb ham on the bone, piece,
lamb leg without bone, g,
lamb liver, g,
lamb loin, g,
lamb ribs, pcs.,
lamb rump, g,
lamb shanks, pcs.,
lamb shoulder, kg,
lamprey, g,
langoustines, pcs.,
lard, g,
lard with meat layers, g,
large carrots, g,
large egg yolks, g,
large leaf black tea, tsp l.,
large oranges, pcs.,
large shell pasta, g,
lavash, to taste,
lavender, g,
lavender dye, h. l.,
lavender honey, g,
leaf lettuce, g,
lean pork, g,
lecho, g,
leek, handful,
leg of lamb, g,
lemon basil, g,
lemon extract, g,
lemon ice cream, to taste,
lemon juice, g,
lemon pepper, g,
lemon thyme, twig,
lemon vinegar, g,
lemon zest, g,
lemonade, g,
lemongrass (lemon sorghum), g,
lemongrass berries, g,
lemongrass stem, g,
lemons, g,
lentils, g,
lettuce, g,
light beer, g,
light mayonnaise, g,
lightly salted cucumbers, pcs.,
lime, g,
lime juice, g,
lime leaves, pcs.,
lime zest, g,
limoncello, g,
lingonberry jam, g,
lingonberry sauce, g,
linguine, pcs.,
linseed oil, h. l.,
liqueur, g,
liqueur Alchermes, g,
liqueur Amaretto, g,
liqueur Cointreau, g,
liquid honey, g,
liquid malt, g,
liquid smoke, g,
liver, g,
liver, g,
loaf, g,
lobster, g,
long grain golden rice, g,
long grain rice, g,
long kong, pcs.,
longan, g,
lovage, g,
low-fat sour cream, g,
low-fat yogurt, g,
lungs, g,
lychee, pcs.,
lychee compote, g,
maasdam, g,
macadamia nuts, g,
macaroons, g,
mackerel, to taste,
mackerel fillet, g,
mackeroncini, g,
mafaldine, g,
malt, h. l.,
malt extract, g,
mango, to taste,
mango syrup, ml,
mangosteen, pcs.,
manitoba flour, g,
maple syrup, g,
maraschino cherry, pcs.,
marble cheese, g,
margarine, g,
marinated jalapeno peppers, pcs.,
marinated porcini mushrooms, g,
marinated sweet red pepper, pcs.,
marjoram, g,
marmalade, to taste,
marshmallow, g,
marshmallow cream, g,
marshmallow mini, g,
marshmallows, g,
martini, g,
martini red, g,
marzipan, to taste,
mascarpone, g,
mash, g,
mashed potatoes, to taste,
mastic, g,
match, g,
matsoni, g,
matzo, g,
mayonnaise, g,
"mayonnaise ""Sloboda"" Light", g,
"mayonnaise ""Sloboda"" Olive", g,
"mayonnaise ""Sloboda"" On quail eggs", g,
"mayonnaise ""Sloboda"" Provencal", g,
"mayonnaise ""Sloboda"" Smetanny", g,
"mayonnaise ""Sloboda"" With lemon juice", g,
"mayonnaise sauce ""Sloboda"" Lean", g,
meal, g,
meat, g,
meat broth, g,
meat on the bone, kg,
meatballs, g,
melissa, g,
melon, g,
melted fat, glass,
meringue, g,
meringue, pcs.,
microgreens, a handful,
milk, g,
milk 0.5%, g,
milk 1.5%, g,
milk 2.5%, g,
milk 3.2%, g,
milk 3.6%, g,
milk 4%, g,
milk 6%, g,
milk chocolate, g,
milk mixture, g,
millet, g,
millet flakes, Art. l.,
minced chicken, g,
minced chicken sausages, pcs.,
minced fish, g,
minced lamb, g,
minced meat, g,
minced meat (lamb and beef), g,
minced meat (pork and chicken), g,
minced mutton, g,
minced pork, g,
minced salmon, g,
minced turkey, g,
minced veal, g,
mini baguette, g,
mini bananas, g,
mini corn, pcs.,
mini eggplant, g,
mint, g,
mint chocolate, g,
mint schnapps, g,
mint syrup, g,
mirin sauce, to taste,
mirror carp, kg,
miso paste, g,
miso soup, packet,
mixture for pancakes, g,
molasses, g,
monosodium glutamate, g,
mortadella, g,
mozzarella, g,
mozzarella ball large, g,
mozzarella for baking, g,
mozzarella for pizza, g,
mozzarella mini, g,
mozzarella with herbs, g,
muesli, g,
mulberry, g,
mullet, g,
multivitamin juice, ml,
muscovado sugar, a handful,
mushrooms, g,
mussels, g,
mussels in shells, g,
mussels in shells, small green, g
mussels in shells are large black, g,
mustard, g,
mustard oil, g,
mustard powder, g,
mustard seeds, g,
mustard with grains, g,
mutton liver, g,
nardek, g,
narsharab sauce, g,
natural yoghurt, g,
neck, g,
nectarines, pcs.,
nettle, g,
non-acidic sour cream, g,
noodles, g,
nori, g,
nougat, g,
nougat with nuts, g,
nut butter, pcs.,
nut butter, Art. l.,
nut crumb, glass,
nut liqueur, ml,
nut sauce, Art. l.,
nutella, g,
nutmeg, g,
nutmeg wine, g,
nuts, g,
oak bark, g,
oat bran, g,
oat flakes, g,
oat flour, g,
oat grains, g,
oat milk, glass,
oat pancakes, pcs.,
oatmeal, g,
oatmeal cookies, g,
octopus, g,
octopus mini, g,
okra, g,
olive mayonnaise, g,
olive oil, g,
olive paste, g,
olives, g,
olives, g,
olives stuffed with anchovies, g,
onion, g,
onion peel, g,
onion powder, g,
orange essence, h. l.,
orange extract, h. l.,
orange jam, g,
orange jam, g,
orange jam with ginger, g,
orange juice, to taste,
orange liqueur, g,
orange peel, g,
orange syrup, glass,
orange vinegar, Art. l.,
orange water, g,
oranges, g,
oregano, g,
oregano, g,
orzo pasta, g,
oxtail, g,
oyster mushrooms, g,
oyster sauce, tsp l.,
oysters, g,
padron pepper, g,
paella seasoning, to taste,
pagra, g,
palm oil, g,
palm sugar, g,
pancake flour, g,
pancetta, g,
paneer cheese, g,
panettone, pcs.,
pangasius, g,
papaya, g,
pappardelle, g,
paprika, g,
parboiled rice, g,
parboiled rice and wild mix, g,
parmesan, g,
parsley, g,
parsley greens, g,
parsley root, g,
parsnip, g,
partridges, g,
passion fruit, g,
pasta, g,
pasta, g,
pasta bows, g,
pasta bucatini, g,
pasta dough, g,
pasta dough for lasagna, g,
pasta horns (pipe rigate), g,
pasta seasoning, to taste,
paste, g,
pastila, g,
pate, g,
pea soup, g,
pea sprouts, a handful,
peach jam, g,
peach juice, g,
peach marmalade, Art. l.,
peach puree, g,
peach syrup, ml,
peaches, g,
peanut butter, g,
peanut butter, g,
peanuts, g,
pear juice, g,
pear liqueur, ml,
pear puree, g,
pear syrup, ml,
pear vinegar, Art. l.,
pearl barley, g,
pearl barley flour, g,
pearl couscous, glass,
pearl sugar, g,
peas, g,
pecans, g,
pecorino, g,
pectin, g,
peeled almonds, g,
peeled chestnuts, g,
peeled cuttlefish, g,
peeled pistachios, g,
peeled shrimp, g,
peeled shrimp in brine, g,
peeled unsalted pistachios, a handful,
penne, g,
penne rigate, g,
peperoncino, h. l.,
pepper, g,
pepper paste, tsp l.,
peppercorns, g,
peppercorns mixture, g,
pepperoni pepper, g,
perch, g,
perch fillet, g,
perch sea fillet, g,
persimmon, g,
pesche mignon cheese, g,
pesto sauce, to taste,
pheasant, g,
physalis, to taste,
pickle from capers, Art. l.,
pickle from olives, Art. l.,
pickled apples, pcs.,
pickled artichokes, g,
pickled capers, g,
pickled champignons, g,
pickled chili peppers, to taste,
pickled cucumbers, jar,
pickled cucumbers, g,
pickled gherkins, g,
pickled ginger, g,
pickled grape leaves, g,
pickled mushrooms, g,
pickled mushrooms, g,
pickled onions, g,
pickled pepper, g,
pickled tomatoes, pcs.,
pigeon, g,
piglet, kg,
pike, g,
pike fillet, g,
pike perch, g,
pike perch caviar, g,
pike perch fillet, g,
pike perch fillet on the skin, g,
pine nut oil, g,
pine nuts, g,
pine nuts, g,
pineapple juice, g,
pineapple syrup, g,
pineapples, g,
pink grapefruits, g,
pink marzipan, g,
pink peppercorns, g,
pink petals, g,
pink salmon, to taste,
pink salmon caviar, g,
pink salmon fillet, g,
pink salmon in its own juice, can,
pinto beans, g,
pistachio flour, g,
pistachio oil, g,
pistachio paste, g,
pistachios, g,
pita, to taste,
pitted Iranian dates, pcs.,
pitted dates, glass,
pitted olives, g,
pitted olives, g,
pitted prunes, g,
pitted raisins, g,
pitted smoked prunes, g,
plum jam, g,
plum jam, g,
plum liqueur, Art. l.,
plum paste, g,
plum sauce, g,
plum wine, g,
plums, kg,
polenta, to taste,
pollock, g,
pollock, g,
pollock fillet, g,
pollock fillet, g,
pollock liver, g,
pomegranate juice, g,
pomegranate paste, Art. l.,
pomegranate sauce, tsp l.,
pomegranate seeds, g,
pomegranate syrup, g,
pomelo, g,
popcorn, g,
poppy, g,
poppy seed, pack,
porcini mushrooms, g,
pork, g,
pork belly, g,
pork belly, g,
pork cheeks, pcs.,
pork chops, g,
pork chops on the bone, g,
pork cutlets on the bone, pcs.,
pork ears, pcs.,
pork fat, pcs.,
pork fillet, g,
pork flank, kg,
pork head, g,
pork heart, g,
pork knuckle, to taste,
pork legs, g,
pork liver, g,
pork loin, g,
pork loin on the bone, g,
pork lungs, g,
pork neck, piece,
pork pulp, g,
pork ribs, g,
pork tenderloin, g,
pork tongue, g,
pork with fat, g,
porridge, g,
porridge for baby food, g,
port wine, g,
portobello, g,
potato, g,
potato broth, g,
potato chips, g,
potato flakes, g,
potato gnocchi, g,
potato starch, g,
powdered milk, g,
powdered orange sugar, g,
powdered sugar vanilla, g,
prickly pear fruits, g,
processed cheese, g,
processed chocolate cheese, g,
prosciutto, g,
prosecco, ml,
provencal herbs, g,
provola cheese, g,
provolone, g,
prunes, g,
psyllium, g,
ptitim, g,
pudding, g,
pudding vanilla instant, packaging,
puff pastry, g,
pumpkin, g,
pumpkin oil, pcs.,
pumpkin puree, g,
pumpkin seeds, g,
puree, to taste,
purslane, g,
quails, carcass,
quince, to taste,
quince puree, g,
quinoa, g,
rabbit, g,
rabbit carcass, g,
rabbit fillet, g,
rabbit liver, g,
radicchio, pcs.,
radish, g,
radish, g,
raisins, g,
raisins white, g,
rambutan, g,
rapana, g,
rapeseed oil, to taste,
raspberries, g,
"raspberries, mashed with sugar", glass,
raspberry cream, g,
raspberry ice cream, g,
raspberry jam, g,
raspberry jam, g,
raspberry jelly, g,
raspberry puree, g,
raspberry sauce, tsp l.,
raspberry syrup, tsp l.,
raspberry tea, g,
raspberry vinegar, ml,
ready dough, g,
ready-made glaze, to taste,
ready-made pancakes, g,
ready-made salad dressing, g,
red apples, pcs.,
red beans, g,
red cabbage, g,
red caviar, g,
red chili, pod,
red currant, g,
red currant jam, g,
"red currant, mashed with sugar", Art. l.,
red fish, g,
red fish fillet, g,
red food coloring, g,
red kidney beans, g,
red lentils, g,
red mullet, g,
red onion, to taste,
red orange juice, ml,
red oranges, pcs.,
red paprika, art. l.,
red pepper, g,
red pepper flakes, a pinch,
red pepper peas, g,
red pepperoni pepper, pcs.,
red perch fillet, g,
red rice, g,
red shallots, pcs.,
red tea, g,
red wine, g,
red wine sauce, g,
red wine vinegar, tsp l.,
refined sugar, g,
refined sugar with cinnamon, g,
refined vegetable oil, g,
regan, twig,
rennet, h. l.,
rhubarb, g,
rice, g,
rice balls, g,
rice devzira, g,
rice flakes, g,
rice flour, g,
rice for pilaf, g,
rice for pudding, g,
rice for risotto, g,
rice for sushi, g,
rice indica, g,
rice italica, g,
rice milk, ml,
rice noodles, g,
rice paper, g,
rice starch, art. l.,
rice vinegar, to taste,
rice viola, g,
rice wine, h. l.,
ricotta, g,
ricotta hard, g,
rigatoni, g,
ripe persimmon, g,
risoni pasta, g,
roast beef, g,
roasted almonds, g,
roasted peanuts, g,
roasted pine nuts, g,
roll, piece,
rooibos tea, art. l.,
roots, to taste,
rose water, g,
rosehip, g,
rosehip syrup, g,
rosemary, pcs.,
roses, g,
round grain rice, g,
rucola, g,
rudd, pcs.,
ruff, g,
ruff-noar, pcs.,
rum, bottle,
rum extract, h. l.,
runny, g,
rutabaga, g,
rye, g,
rye bran, g,
rye bread, g,
rye buns, piece,
rye crackers, g,
rye flour, g,
rye sourdough, g,
saffron, g,
saffron thread, pcs.,
sage, g,
sake, art. l.,
salad, g,
salad dressing, to taste,
salad mix, g,
salad onions, pcs.,
salad shrimps, g,
salami, g,
salmon, g,
salmon, g,
salmon caviar, g,
salmon fillet, g,
salmon fillet, g,
salmon fillet on the skin, g,
salmon fillet on the skin, g,
salmon milk, g,
salmon steak, pcs.,
salmon steak, g,
salmon steaks, g,
salsa, g,
salsa verde, pt. l.,
salt, g,
salted caramel, g,
salted cracker, g,
salted curd cheese, g,
salted fern, packing,
salted herring, pcs.,
salted mushrooms, g,
salted peanuts, g,
salted red fish, g,
salted salmon, g,
sambal oelek sauce, tsp l.,
sandwich bread, g,
sandwich marmalade, g,
sardines, g,
sardines in oil, jar,
satsebeli sauce, g,
sauce, g,
sauerkraut, to taste,
saury, g,
sausage, g,
sausage cheese, g,
sausages, g,
sausages, g,
sausages, g,
sausages for frying, g,
savory, g,
savoy cabbage, g,
scallops, kg,
scamorza cheese, g,
schnapps, g,
sea ​​bass, g,
sea ​​bass, g,
sea ​​buckthorn, g,
sea ​​buckthorn syrup, glass,
sea ​​cabbage, to taste,
sea ​​cocktail, g,
sea ​​cocktail in oil, packaging,
sea ​​fish, g,
sea ​​salt, g,
seafood, pcs.,
seasoning 4 peppers, g,
seasoning 5 spices (five spice), tsp l.,
seasoning for chicken, g,
seasoning for fish, g,
seasoning for lamb, Art. l.,
seasoning for marinating pork, to taste,
seasoning for meat, g,
seasoning for pilaf, g,
seasoning for pizza, tsp l.,
seasoning for potatoes, g,
seasoning for poultry, Art. l.,
seasoning for seafood, to taste,
seasoning with dried mushrooms, tsp l.,
seasonings, g,
seedless grapes, g,
seeds, g,
seeds mixture, Art. l.,
self-rising flour, g,
semi-dry red wine, g,
semi-dry rose wine, g,
semi-dry white wine, g,
semi-hard cheese, g,
semi-smoked sausage, g,
semi-sweet chocolate, g,
semi-sweet red wine, g,
semi-sweet rose wine, Art. l.,
semi-sweet white wine, g,
semolina, g,
semolina, g,
senegalese pepper, to taste,
serum, g,
sesame bread, piece,
sesame flour, g,
sesame oil, g,
sesame paste, g,
sesame seeds, g,
sesame seeds, to taste,
shallots, g,
shark steaks, g,
sheep cheese, g,
sheet gelatin, to taste,
shell pasta (conchiglie rigate), g,
shell pasta (conchiglie), g,
shellfish, g,
sherry, glass,
sherry vinegar, tsp l.,
shiitake mushrooms, g,
shirataki noodles, g,
shortbread cookies, g,
shortbread dough, to taste,
shortening, glass,
shrimp, g,
side dish, g,
silver confectionery beads, to taste,
skimmed milk powder, Art. l.,
slightly salted herring, g,
slightly salted salmon, g,
slightly salted trout, g,
slightly salted trout, g,
small croutons, g,
small onions, g,
small pasta, g,
small red fish caviar, g,
small sardines, pcs.,
smelt, g,
smoked bacon, g,
smoked brisket, to taste,
smoked cheese, g,
smoked chicken, g,
smoked chicken breasts, g,
smoked chicken drumsticks, pcs.,
smoked chicken legs, g,
smoked eel, g,
smoked fish, g,
smoked fish fillet, g,
smoked goose breast, g,
smoked ham, g,
smoked lard in pepper, g,
smoked lard with meat layers, g,
smoked meats, g,
smoked mussels in oil, g,
smoked paprika, art. l.,
smoked pork knuckle, g,
smoked pork loin, g,
smoked salmon, g,
smoked salmon, g,
smoked sausage, g,
smoked sausages, g,
smoked sausages, g,
smoked scamorza cheese, g,
smoked suluguni, g,
smoked sweet paprika, g,
smoked tea lapsang sushong, g,
smoked turkey, g,
snails, g,
snow crab, to taste,
snowball, l,
soda, g,
soft cheese with mold, g,
soft cottage cheese, g,
soft goat cheese, g,
sole, g,
sole fillet, g,
soup set, g,
sour berry sauce, g,
sour cream, g,
sour cream 10%, g,
sour cream 15%, h. l.,
sour cream 18%, g,
sour cream 20%, g,
sour cream 25%, g,
sour cream 30%, g,
sour cream 35%, g,
soy, g,
soy flour, g,
soy milk, g,
soy protein isolate, g,
soy sauce, g,
soybean oil, g,
soybean sprouts, g,
spaghetti, g,
spaghetti No. 3, g,
spaghetti No. 5, g,
spaghetti lungi, g,
sparkling mineral water, g,
speck, g,
spelled, g,
spelled, glass,
spelled (spelled) flour, g,
spices, g,
spices, g,
spicy herbs with pepper, tsp l.,
spicy ketchup, to taste,
spicy sauce, g,
spicy tomato sauce, g,
spinach, g,
spiral pasta (fusilli), g,
spirulina powder, g,
split peas, g,
sprat, g,
sprats, g,
sprats in oil, g,
spread, g,
sprouted mung beans, g,
squash, g,
squid, g,
squid fillet, pcs.,
star anise, g,
star anise, pinch,
starch, g,
starch syrup, g,
stevia sugar substitute, g,
stew, g,
still mineral water, glass,
stracatella, g,
straw, g,
strawberries, to taste,
strawberries in syrup, g,
"strawberries, mashed with sugar", g,
strawberry, g,
strawberry compote, glass,
strawberry curd, g,
strawberry ice cream, g,
strawberry jam, g,
strawberry jam, g,
strawberry liqueur, g,
strawberry puree, g,
strawberry syrup, g,
strong alcohol, Art. l.,
stuffing box, g,
sturgeon, g,
sugar, g,
sugar bone, g,
sugar confectionery decorations, a handful,
sugar cookies, g,
sugar pearls, g,
sugar substitute, to taste,
sugar syrup, g,
suluguni, g,
sumac, g,
sun-dried tomatoes, to taste,
sun-dried tomatoes in oil, g,
sunflower halva, g,
sunflower oil, g,
sunflower seeds, g,
sweet apples, g,
sweet chili sauce, tsp l.,
sweet cookies, g,
sweet green pepper, g,
sweet orange pepper, g,
sweet paprika, g,
sweet paprika with flakes, tsp l.,
sweet pepper, g,
sweet potato, g,
sweet red pepper, g,
sweet red wine, g,
sweet white wine, g,
sweet yellow pepper, g,
sweets, g,
sweets Truffle, g,
swordfish, g,
syrup, g,
table vinegar, g,
tagliatelle, g,
tagliatelle nests, pcs.,
tagliolini, g,
tahini paste, g,
talejo, g,
tamarind, pcs.,
tamarind paste, h. l.,
tangerine candied fruits, g,
tangerine juice, g,
tangerine puree, g,
tangerines, to taste,
tangerines in their own juice, g,
tapioca, g,
tarragon, g,
tarragon, g,
tartar, pinch,
tartare, art. l.,
tartlets, to taste,
tequila, glass,
teriyaki sauce, g,
tete de moine cheese, g,
thick rye sourdough, g,
thick strawberry jam, ml,
thickener for cream, g,
thin pita bread, layer,
thyme, handful,
thyme, g,
thyme fresh, to taste,
tiger shrimps, g,
tilapia, g,
tilapia fillet, g,
tilsiter, g,
titanium dioxide, g,
tkemali, g,
tkemali noble sauce, g,
tkemali sauce, glass,
tofu, g,
tomato concentrate, g,
tomato juice, g,
tomato ketchup, g,
tomato paste, g,
tomato powder, g,
tomato puree, g,
tomato sauce, g,
tomato sauce with basil, g,
tomatoes, g,
tomatoes mashed trade wind, g,
tonic, bottle,
tonka beans, pcs.,
tortillas, to taste,
tortilloni, g,
transfer sheet for chocolate, pcs.,
trout, g,
trout fillet, g,
trout steaks, pcs.,
truffle, g,
truffle chips, g,
truffle oil, Art. l.,
tuna, to taste,
tuna fillet, g,
turkey, g,
turkey breast, g,
turkey carcass, pcs.,
turkey drumstick, g,
turkey fillet, g,
turkey liver, g,
turmeric, g,
turnip, g,
turnip white, pcs.,
uhurt, g,
uncooked smoked bacon, g,
uncooked smoked ham, g,
uncooked smoked sausage, g,
uncooked smoked sausages, pcs.,
unfiltered beer, g,
unleavened dough, g,
unrefined vegetable oil, glass,
unripe spelled, g,
utskho-suneli, g,
vanilla essence, g,
vanilla extract, to taste,
vanilla ice cream, g,
vanilla in pods, g,
vanilla powder, g,
vanilla pudding, g,
vanilla sugar, g,
vanilla syrup, g,
vanilla tincture, Art. l.,
vanillin, g,
veal, to taste,
veal cheek, pcs.,
veal chops on the bone, pcs.,
veal escalopes, g,
veal liver, g,
veal schnitzels, pcs.,
veal tenderloin, g,
vegemite paste, g,
vegetable broth, to taste,
vegetable fat, g,
vegetable milk, glass,
vegetable mixture, g,
vegetable oil, g,
vegetable oil for frying, g,
vegetables, g,
venison, g,
vermicelli, g,
vermouth, g,
viburnum, to taste,
viburnum rubbed, g,
vinaigrette, g,
vinegar, g,
vinegar 9%, g,
vinegar essence, g,
violet syrup, g,
vitamin C powder, g,
vodka, g,
wafer cakes, g,
wafer crumb, g,
wafer rolls, g,
waffles, g,
walnut oil, tsp l.,
walnuts, g,
wasabi, g,
water, g,
watercress, g,
watermelon pulp, g,
watermelons, g,
wheat, g,
wheat bran, g,
wheat flakes, g,
wheat flour, g,
wheat germ, glass,
wheat germ flour, Art. l.,
wheat groats, g,
wheat sprouts, g,
whey protein, g,
whiskey, g,
white asparagus, g,
white beans, g,
white bread, g,
white cabbage, g,
white chocolate, g,
white chocolate drops, g,
white chocolate icing, g,
white crackers, g,
white fish, g,
white fish fillet, g,
white grapes, g,
white lima beans, g,
white nutmeg, ml,
white onion, to taste,
white pepper, g,
white peppercorns, to taste,
white radish, pcs.,
white roll, g,
white stale buns, g,
white table wine, glass,
white vermouth, g,
white wine, to taste,
white wine vinegar, g,
whitefish, g,
whole grain bread, g,
whole grain wheat flour, g,
whole grain wheat-rye crispbread, g,
wild boar meat, g,
wild garlic, g,
wild rice, g,
wild rice and golden mixture, g,
wine vinegar, g,
wine vinegar on tarragon, Art. l.,
wine vinegar with garlic, tsp l.,
yeast dough, to taste,
yeast puff pastry, kg,
yeast-free dough, g,
yeast-free puff pastry, to taste,
yellow cherry tomatoes, g,
yellow mustard seeds, g,
yellow tomatoes, pcs.,
yesterday's baguette, g,
yesterday's buns, pcs.,
yogurt, g,
young asparagus, g,
young carrots, g,
young garlic, g,
young goat meat, kg,
young grape leaves, pcs.,
young potatoes, g,
young spinach, g,
young zucchini, g,
yuzu juice, ml,
za'atar, pinch,
zaatar seasoning, h. l.,
zira, g,
zucchini, g,
zucchini, g,
zucchini flowers, pcs.,
